model   size    theta   ll      NA_pop_est      EU_pop_est      t_est   m_est
split_mig	20	13373.368182842964	-5637.757610260603	19752633.093940917	3207850.4198727845	57903794.44171564	1.535184788408968e-09	
split_mig	20	13337.291028524913	-5635.935586553998	19702938.01206714	3221419.0213241456	57999074.3350565	1.5235308018872093e-09	
split_mig	20	73906.65420136758	-835025.2325418664	154439468.4739555	3343746.940404058	5279138.970892355	9.825486808971155e-08	
split_mig	20	9352.251049065471	-2293080.1996011194	13882938.001529632	18266885.539813764	32231432.847824242	5.697765263666251e-07	
split_mig	20	12920.176409214906	-6240.398138386335	19552962.213353604	3671513.68447415	56453964.725982346	1.306524492587567e-09
split_no_mig	20	74455.77276230192	-16600.12198469494	18420155.806189317	3734169.721001989	25362452.780398894	NA
split_no_mig	20	74455.55587589167	-16600.122876141988	18420442.885101125	3734202.721417524	25361496.426390216	NA
split_no_mig	20	74451.31000043999	-16600.100026774086	18419704.43386615	3734954.5796707417	25363152.39150472	NA
split_no_mig	20	74451.0190202009	-16600.117475930536	18422067.61864761	3733629.5490640323	25362500.064876992	NA
split_no_mig	20	74348.5368780893	-16599.84393287736	18418782.82305031	3740161.367504746	25415139.952179182	NA
split_mig	20	13254.96868763651	-5638.790897761421	19718297.247365657	3205998.3575517302	58089372.42957135	1.5561836027811068e-09	
split_mig	20	13277.517520754578	-5635.439733048768	19681329.35874876	3226030.1667709383	58073095.93380196	1.5256857720685315e-09	
split_mig	20	77730.88955226234	-295824.4108221542	106267914.69281839	64431.35137861174	5887594.189615956	2.930903478788762e-12	
split_mig	20	9270.233234776222	-2239633.442949666	17827365.179821424	12629962.490295012	35963012.77365156	5.525194574347444e-07	
split_mig	20	13249.453355847418	-5635.375646054972	19670971.408165768	3238638.801057229	58053345.72362623	1.5180015674657145e-09	
