VCF	n	sfs			AIC			BIC			SAP
busco	20	sfs_empirical		NA			NA			0.01423781579155403	
busco	20	sfs_from_ests		16502.727059045683	16516.479376281375	0.003809790275123337	
busco	20	sfs_split_mig_model	1379.42501150179	1393.1773287374829	0.011075634001748897	
busco	20	sfs_split_no_mig_model	2851.30569682416	2861.6199347509296	0.005274430386357981	
busco	100	sfs_empirical		NA			NA			0.012798695764944768	
busco	100	sfs_from_ests		29372.78111012153	29398.96811809616	0.004196439254568209	
busco	100	sfs_split_mig_model	6083.117887121652	6109.304895096283	0.010372067226925828	
busco	100	sfs_split_no_mig_model	11427.12391947053	11446.764175451504	0.004252683278428954	
filt	20	sfs_empirical		NA			NA			0.018263720727017378	
filt	20	sfs_from_ests		257370.08192182315	257383.83423905884	0.003809790275123337	
filt	20	sfs_split_mig_model	11278.751336580113	11292.503653815806	0.013670579308093723	
filt	20	sfs_split_no_mig_model	33205.68779041526	33216.00202834202	0.007885406958060722	
filt	100	sfs_empirical		NA			NA			0.01597512014836925	
filt	100	sfs_from_ests		417536.4136099284	417562.60061790305	0.004196439254568209	
filt	100	sfs_split_mig_model	43132.2833265573	43158.47033453193	0.012723019822410366	
filt	100	sfs_split_no_mig_model	122075.52616124725	122095.16641722823	0.006296499646643046	
